ANO;ID_ESPACIA;DEPTO;MUNICIPIO;Y_PROP;Y_PROP2;CUL_ILI;GRUPO_ARMA;ACCION_ARMADA;MINAS;INFRACCIONES_H;ACTO_TERRO
2002;27099;CHOCO;BOJAYA;0,8800000000;0,9300000000;0;1;1;0;272;104
2002;25394;CUNDINAMARCA;LA PALMA;0,8673862760;0,9173862760;0;1;1;0;268;10
2002;5313;ANTIOQUIA;GRANADA;0,8232734153;0,8732734153;0;1;1;2;707;7
2002;5873;ANTIOQUIA;VIGIA DEL FUERTE;0,7903310562;0,8403310562;0;1;1;0;25;10
2003;5652;ANTIOQUIA;SAN FRANCISCO;0,7822677925;0,8322677925;0;1;1;6;255;3
2007;52250;NARIÑO;EL CHARCO;0,7673494455;0,8173494455;1;1;1;0;133;886
2003;85279;CASANARE;RECETOR;0,6868901146;0,7368901146;0;1;1;0;152;5
2002;54206;NORTE DE SANTANDER;CONVENCION;0,6838928068;0,7338928068;1;1;1;5;125;8
2004;27099;CHOCO;BOJAYA;0,6562186056;0,7062186056;0;1;1;0;20;6
2002;5055;ANTIOQUIA;ARGELIA;0,6517899535;0,7017899535;0;1;1;10;417;77
2002;27150;CHOCO;CARMEN DEL DARIEN;0,6045995562;0,6545995562;0;1;1;0;29;4
2002;17662;CALDAS;SAMANA;0,5983464567;0,6483464567;0;1;1;5;530;84
2012;27073;CHOCO;BAGADO;0,5693323551;0,6193323551;0;1;1;0;11;180
2004;5652;ANTIOQUIA;SAN FRANCISCO;0,5402087170;0,5902087170;0;1;1;33;231;12
2007;27745;CHOCO;SIPI;0,5376254181;0,5876254181;1;1;1;0;4;13
2002;13212;BOLIVAR;CORDOBA;0,5359406511;0,5859406511;0;1;1;0;118;15
2005;17495;CALDAS;NORCASIA;0,5346950601;0,5846950601;1;1;1;2;17;0
2003;25878;CUNDINAMARCA;VIOTA;0,5053833369;0,5553833369;0;0;1;0;140;0
2007;27150;CHOCO;CARMEN DEL DARIEN;0,4973953309;0,5473953309;0;1;1;0;3;0
2002;85015;CASANARE;CHAMEZA;0,4878048780;0,5378048780;0;1;1;1;58;8
2002;5649;ANTIOQUIA;SAN CARLOS;0,4596093413;0,5096093413;0;1;1;9;565;8
2002;54250;NORTE DE SANTANDER;EL TARRA;0,4407979408;0,4907979408;1;1;1;4;244;6
2002;5660;ANTIOQUIA;SAN LUIS;0,4318181818;0,4818181818;0;1;1;7;420;11
2002;54800;NORTE DE SANTANDER;TEORAMA;0,4103694505;0,4603694505;1;1;1;4;107;2
2002;50325;META;MAPIRIPAN;0,4097245270;0,4597245270;1;1;1;4;151;1
2005;27099;CHOCO;BOJAYA;0,4066995272;0,4566995272;0;1;1;2;2;2
2002;5197;ANTIOQUIA;COCORNA;0,4058582677;0,4558582677;0;1;1;16;691;26
2013;19780;CAUCA;SUAREZ;0,4011410899;0,4511410899;1;1;1;30;48;734
2005;17662;CALDAS;SAMANA;0,4005614254;0,4505614254;1;1;1;22;130;9
2002;70204;SUCRE;COLOSO;0,3996311097;0,4496311097;0;1;1;0;131;9
2011;5040;ANTIOQUIA;ANORI;0,3987805629;0,4487805629;0;1;1;14;64;5
2005;5055;ANTIOQUIA;ARGELIA;0,3964919235;0,4464919235;0;1;1;19;126;25
2003;50251;META;EL CASTILLO;0,3838283359;0,4338283359;0;1;1;3;259;3
2003;85015;CASANARE;CHAMEZA;0,3742514970;0,4242514970;0;1;1;5;89;1
2012;19780;CAUCA;SUAREZ;0,3639746930;0,4139746930;0;1;1;19;15;454
2003;54250;NORTE DE SANTANDER;EL TARRA;0,3632079830;0,4132079830;1;1;1;4;233;6
2002;25258;CUNDINAMARCA;EL PEÑON;0,3625294580;0,4125294580;0;1;1;0;50;2
2015;54398;NORTE DE SANTANDER;LA PLAYA;0,3582962790;0,4082962790;1;1;1;1;8;16
2002;18860;CAQUETA;VALPARAISO;0,3531810767;0,4031810767;1;1;1;0;230;5
2006;50711;META;VISTAHERMOSA;0,3512573072;0,4012573072;1;1;1;70;256;17
2006;5055;ANTIOQUIA;ARGELIA;0,3457548595;0,3957548595;0;1;1;5;18;5
2005;70110;SUCRE;BUENAVISTA;0,3397679089;0,3897679089;0;1;1;0;6;0
2005;50711;META;VISTAHERMOSA;0,3338559483;0,3838559483;1;1;1;65;385;43
2013;27745;CHOCO;SIPI;0,3334180432;0,3834180432;1;1;1;4;15;44
2002;18205;CAQUETA;CURILLO;0,3330938482;0,3830938482;1;1;1;0;418;10
2003;27099;CHOCO;BOJAYA;0,3328660124;0,3828660124;0;0;1;0;2;7
2004;27150;CHOCO;CARMEN DEL DARIEN;0,3265547878;0,3765547878;0;1;1;0;1;0
2004;70204;SUCRE;COLOSO;0,3109377488;0,3609377488;0;1;1;0;106;2
2006;52540;NARIÑO;POLICARPA;0,3086814436;0,3586814436;1;1;1;1;335;68
2002;70230;SUCRE;CHALAN;0,3049370765;0,3549370765;0;1;1;1;96;21
2005;50590;META;PUERTO RICO;0,3027406725;0,3527406725;1;1;1;26;203;22
2006;44090;LA GUAJIRA;DIBULLA;0,3025121663;0,3525121663;1;1;1;0;78;2
2002;27600;CHOCO;RIO QUITO;0,3000402199;0,3500402199;0;1;1;0;3;0
2004;18150;CAQUETA;CARTAGENA DEL CHAIRA;0,2943531246;0,3443531246;1;1;1;19;133;30
2003;5313;ANTIOQUIA;GRANADA;0,2902719152;0,3402719152;0;1;1;18;422;23
2003;52258;NARIÑO;EL TABLON DE GOMEZ;0,2889060634;0,3389060634;0;0;1;0;41;16
2002;25823;CUNDINAMARCA;TOPAIPI;0,2842769777;0,3342769777;0;1;1;0;71;3
2002;70678;SUCRE;SAN BENITO ABAD;0,2780821918;0,3280821918;0;1;1;0;57;6
2008;52540;NARIÑO;POLICARPA;0,2715990453;0,3215990453;1;1;1;2;124;44
2006;5483;ANTIOQUIA;NARIÑO;0,2680228862;0,3180228862;0;1;1;7;46;9
2002;20045;CESAR;BECERRIL;0,2663864349;0,3163864349;0;1;1;0;238;1
2002;54810;NORTE DE SANTANDER;TIBU;0,2656837236;0,3156837236;1;1;1;4;1236;18
2002;44650;LA GUAJIRA;SAN JUAN DEL CESAR;0,2630158000;0,3130158000;0;1;1;1;176;6
2002;17541;CALDAS;PENSILVANIA;0,2615513435;0,3115513435;0;1;1;0;188;117
2005;19821;CAUCA;TORIBIO;0,2608252867;0,3108252867;0;1;1;16;42;146
2002;5652;ANTIOQUIA;SAN FRANCISCO;0,2605602490;0,3105602490;0;1;1;0;124;13
2002;13894;BOLIVAR;ZAMBRANO;0,2528527441;0,3028527441;0;1;1;4;89;8
2016;27250;CHOCO;EL LITORAL DEL SAN JUAN;0,2507843012;0,3007843012;1;0;0;0;0;0
2006;27745;CHOCO;SIPI;0,2471020639;0,2971020639;1;1;1;0;13;16
2006;54109;NORTE DE SANTANDER;BUCARASICA;0,2462212486;0,2962212486;1;1;1;0;31;0
2007;52233;NARIÑO;CUMBITARA;0,2438661710;0,2938661710;1;1;1;7;128;18
2007;50711;META;VISTAHERMOSA;0,2390720946;0,2890720946;1;1;1;25;241;5
2003;5649;ANTIOQUIA;SAN CARLOS;0,2377744511;0,2877744511;0;1;1;15;322;16
2002;18785;CAQUETA;SOLITA;0,2332455035;0,2832455035;1;1;1;0;135;0
2002;27787;CHOCO;TADO;0,2321008885;0,2821008885;0;1;1;0;51;6
2003;17662;CALDAS;SAMANA;0,2317675659;0,2817675659;1;1;1;11;335;20
2002;86569;PUTUMAYO;PUERTO CAICEDO;0,2278534325;0,2778534325;1;1;1;0;212;2
2004;5313;ANTIOQUIA;GRANADA;0,2225806452;0,2725806452;0;1;1;14;274;7
2002;20517;CESAR;PAILITAS;0,2211594769;0,2711594769;0;1;1;1;158;7
